Timestamp,Location/Street,District,Latitude,Longitude,CurrentSpeed,FreeFlowSpeed,Confidence
2025-11-10 07:43:59,Cho Ben Thanh,Quan 1,10.772727584493625,106.69804225297563,18,24,1.0
2025-11-10 07:44:00,Duong Nguyen Hue,Quan 1,10.774028664434528,106.70357076461706,29,29,1.0
2025-11-10 07:44:00,Nguyen Van Linh,Quan 7,10.752616652291238,106.72509685338922,39,39,1.0
2025-11-10 07:44:01,Vo Van Kiet,Quan 5,10.745754766198267,106.65326266831877,42,42,1.0
2025-11-10 07:44:02,Xa lo Ha Noi,QL1A,10.94927106740351,106.87196348224562,30,41,1.0
2025-11-10 07:44:03,Duong Dien Bien Phu,Quan 1,10.78866360854368,106.69551372228901,29,41,1.0
2025-11-10 07:44:04,Nga tu Hang Xanh,Binh Thanh,10.801406421807085,106.71148440879679,29,41,1.0
2025-11-10 07:44:04,Nga tu An Suong,Hoc Mon,10.843150534972033,106.6151343241409,23,35,1.0
2025-11-10 07:44:05,Ben xe Mien Dong,Quan 9,10.880537767027526,106.81481342866444,43,53,1.0
2025-11-10 07:44:06,Ben xe Mien Tay,Binh Tan,10.740840166521663,106.61899246873142,26,35,1.0
2025-11-10 07:44:07,Cau Sai Gon,Quan 2 ,10.798986343749618,106.72697056646841,31,43,1.0
2025-11-10 07:44:08,Cau Phu My,Q2,10.741860769464234,106.73790365482627,38,44,1.0
2025-11-10 07:44:09,Cau Kenh Te,Q4,10.752408891679814,106.7022703818112,18,34,1.0
2025-11-10 07:44:10,Cau Thu Thiem,Quan 2,10.786216596454727,106.71836665482695,40,40,1.0
2025-11-10 07:44:10,Nguyen Huu Canh,Binh Thanh,10.78948793356203,106.71518838181179,21,35,1.0
2025-11-10 07:44:11,Cong Hoa,Tan Binh,10.80223925742187,106.6478722259914,28,41,1.0
2025-11-10 07:44:18,Truong Son / Tan Son Nhat Blvd,Gan san bay,10.813928881466124,106.66511432455972,22,34,1.0
2025-11-10 07:44:30,Nguyen Trai,Quan 5,10.755608615763382,106.67347943578082,20,28,1.0
2025-11-10 07:44:31,Le Duan,Quan 1,10.782680856341083,106.70051548181169,20,30,1.0
2025-11-10 07:44:32,Tran Hung Dao ,Quan 5,10.754895139302109,106.67839188181134,20,33,1.0
2025-11-10 07:44:33,Tran Quoc Thao,Quan 3,10.785070445194592,106.68331340921323,15,26,1.0
2025-11-10 07:44:34,Tran Hung Dao,Quan 5,10.7549373008113,106.67848844133415,20,33,1.0
2025-11-10 07:44:38,Cach Mang Thang 8 (CMT8),Quan 3,10.77898143649726,106.67684447140958,18,34,1.0
2025-11-10 07:44:50,Pham Ngu Lao / Bui Vien,Quan 1,10.767112828386699,106.6927618222887,20,20,1.0
2025-11-10 07:45:02,Nguyen Thi Minh Khai,Quan 3,10.77847212665258,106.69389510879643,28,41,1.0
2025-11-10 07:45:03,Nguyen Van Troi,Phu Nhuan,10.796057790235078,106.67492629345334,22,34,1.0
2025-11-10 07:45:03,Pham Van Dong,Go Vap,10.835298215641501,106.72935479345391,30,42,0.99644
2025-11-10 07:45:04,Cong truong lam son,Quan 1,10.777562007197462,106.7041335430398,19,30,1.0
2025-11-10 07:45:05,Nguyen Oanh ,Go Vap,10.83886351241477,106.67566625482782,26,36,1.0
2025-11-10 07:45:06,Le Hong Phong,Quan 10,10.765187049751795,106.67550552599073,24,35,1.0
2025-11-10 07:45:14,Nguyen Van Cu,Quan 5,10.759484371982321,106.6840537511244,21,28,1.0
2025-11-10 07:45:15,Nga tu Binh Phuoc,Ngoai o,10.865229381280965,106.72366973948475,36,49,1.0
2025-11-10 07:45:16,Phu My Hung ,Quan 7,10.72279213640514,106.72808623948244,25,37,0.998603
2025-11-10 07:45:16,Nguyen Thai Son,Phu Nhuan,10.823400120373712,106.68551227436063,22,31,1.0
2025-11-10 07:45:29,An Duong Vuong,Quan 8,10.756158554057757,106.66631758181126,30,30,1.0
2025-11-10 07:45:29,Huynh Tan Phat,Nha Be,10.7144382088356,106.73711688366167,21,35,1.0
2025-11-10 07:45:41,Truong Chinh,Tan Binh ,10.817236653231737,106.63191539530457,25,35,1.0
2025-11-10 07:47:42,Cho Ben Thanh,Quan 1,10.772727584493625,106.69804225297563,16,24,0.997276
2025-11-10 07:47:43,Duong Nguyen Hue,Quan 1,10.774028664434528,106.70357076461706,21,28,1.0
2025-11-10 07:47:43,Nguyen Van Linh,Quan 7,10.752616652291238,106.72509685338922,39,39,1.0
2025-11-10 07:47:44,Vo Van Kiet,Quan 5,10.745754766198267,106.65326266831877,42,42,1.0
2025-11-10 07:47:45,Xa lo Ha Noi,QL1A,10.94927106740351,106.87196348224562,31,41,1.0
2025-11-10 07:47:46,Duong Dien Bien Phu,Quan 1,10.78866360854368,106.69551372228901,28,42,1.0
2025-11-10 07:47:47,Nga tu Hang Xanh,Binh Thanh,10.801406421807085,106.71148440879679,28,42,1.0
2025-11-10 07:47:48,Nga tu An Suong,Hoc Mon,10.843150534972033,106.6151343241409,24,35,1.0
2025-11-10 07:47:48,Ben xe Mien Dong,Quan 9,10.880537767027526,106.81481342866444,44,53,1.0
2025-11-10 07:47:49,Ben xe Mien Tay,Binh Tan,10.740840166521663,106.61899246873142,24,35,1.0
2025-11-10 07:47:50,Cau Sai Gon,Quan 2 ,10.798986343749618,106.72697056646841,45,45,1.0
2025-11-10 07:47:51,Cau Phu My,Q2,10.741860769464234,106.73790365482627,45,45,1.0
2025-11-10 07:47:52,Cau Kenh Te,Q4,10.752408891679814,106.7022703818112,18,35,1.0
2025-11-10 07:47:53,Cau Thu Thiem,Quan 2,10.786216596454727,106.71836665482695,40,40,1.0
2025-11-10 07:47:54,Nguyen Huu Canh,Binh Thanh,10.78948793356203,106.71518838181179,15,36,1.0
2025-11-10 07:47:55,Cong Hoa,Tan Binh,10.80223925742187,106.6478722259914,25,40,1.0
2025-11-10 07:47:56,Truong Son / Tan Son Nhat Blvd,Gan san bay,10.813928881466124,106.66511432455972,22,34,1.0
2025-11-10 07:47:57,Nguyen Trai,Quan 5,10.755608615763382,106.67347943578082,21,27,0.997909
