Timestamp,Location/Street,District,Latitude,Longitude,CurrentSpeed,FreeFlowSpeed,Confidence
2025-11-30 07:24:20,Cho Ben Thanh,Quan 1,10.772727584493625,106.69804225297563,20,24,1.0
2025-11-30 07:24:20,Duong Nguyen Hue,Quan 1,10.774028664434528,106.70357076461706,29,29,1.0
2025-11-30 07:24:21,Nguyen Van Linh,Quan 7,10.752616652291238,106.72509685338922,39,39,1.0
2025-11-30 07:24:22,Vo Van Kiet,Quan 5,10.745754766198267,106.65326266831877,42,42,1.0
2025-11-30 07:24:23,Xa lo Ha Noi,QL1A,10.94927106740351,106.87196348224562,31,42,1.0
2025-11-30 07:24:24,Duong Dien Bien Phu,Quan 1,10.78866360854368,106.69551372228901,42,42,1.0
2025-11-30 07:24:25,Nga tu Hang Xanh,Binh Thanh,10.801406421807085,106.71148440879679,42,42,1.0
2025-11-30 07:24:25,Nga tu An Suong,Hoc Mon,10.843150534972033,106.6151343241409,28,34,1.0
2025-11-30 07:24:26,Ben xe Mien Dong,Quan 9,10.880537767027526,106.81481342866444,53,53,1.0
2025-11-30 07:24:27,Ben xe Mien Tay,Binh Tan,10.740840166521663,106.61899246873142,34,34,1.0
2025-11-30 07:24:28,Cau Sai Gon,Quan 2 ,10.798986343749618,106.72697056646841,45,45,1.0
2025-11-30 07:24:29,Cau Phu My,Q2,10.741860769464234,106.73790365482627,45,45,1.0
2025-11-30 07:24:30,Cau Kenh Te,Q4,10.752408891679814,106.7022703818112,33,33,1.0
2025-11-30 07:24:30,Cau Thu Thiem,Quan 2,10.786216596454727,106.71836665482695,40,40,1.0
2025-11-30 07:24:31,Nguyen Huu Canh,Binh Thanh,10.78948793356203,106.71518838181179,36,36,1.0
2025-11-30 07:24:32,Cong Hoa,Tan Binh,10.80223925742187,106.6478722259914,41,41,1.0
2025-11-30 07:24:33,Truong Son / Tan Son Nhat Blvd,Gan san bay,10.813928881466124,106.66511432455972,33,33,1.0
2025-11-30 07:24:34,Nguyen Trai,Quan 5,10.755608615763382,106.67347943578082,28,28,1.0
2025-11-30 07:24:35,Le Duan,Quan 1,10.782680856341083,106.70051548181169,30,30,1.0
2025-11-30 07:24:35,Tran Hung Dao ,Quan 5,10.754895139302109,106.67839188181134,25,32,1.0
2025-11-30 07:24:47,Tran Quoc Thao,Quan 3,10.785070445194592,106.68331340921323,18,27,1.0
2025-11-30 07:24:59,Tran Hung Dao,Quan 5,10.7549373008113,106.67848844133415,25,32,1.0
2025-11-30 07:25:00,Cach Mang Thang 8 (CMT8),Quan 3,10.77898143649726,106.67684447140958,29,34,1.0
2025-11-30 07:25:01,Pham Ngu Lao / Bui Vien,Quan 1,10.767112828386699,106.6927618222887,20,20,1.0
2025-11-30 07:25:13,Nguyen Thi Minh Khai,Quan 3,10.77847212665258,106.69389510879643,41,41,1.0
2025-11-30 07:25:14,Nguyen Van Troi,Phu Nhuan,10.796057790235078,106.67492629345334,33,33,1.0
2025-11-30 07:25:15,Pham Van Dong,Go Vap,10.835298215641501,106.72935479345391,42,42,1.0
2025-11-30 07:25:15,Cong truong lam son,Quan 1,10.777562007197462,106.7041335430398,30,30,1.0
2025-11-30 07:25:16,Nguyen Oanh ,Go Vap,10.83886351241477,106.67566625482782,36,36,1.0
2025-11-30 07:25:17,Le Hong Phong,Quan 10,10.765187049751795,106.67550552599073,36,36,1.0
2025-11-30 07:25:18,Nguyen Van Cu,Quan 5,10.759484371982321,106.6840537511244,28,28,1.0
2025-11-30 07:25:19,Nga tu Binh Phuoc,Ngoai o,10.865229381280965,106.72366973948475,49,49,1.0
2025-11-30 07:25:20,Phu My Hung ,Quan 7,10.72279213640514,106.72808623948244,27,37,0.985905
2025-11-30 07:25:20,Nguyen Thai Son,Phu Nhuan,10.823400120373712,106.68551227436063,32,32,1.0
2025-11-30 07:25:32,An Duong Vuong,Quan 8,10.756158554057757,106.66631758181126,24,29,1.0
2025-11-30 07:25:44,Huynh Tan Phat,Nha Be,10.7144382088356,106.73711688366167,28,35,1.0
2025-11-30 07:25:45,Truong Chinh,Tan Binh ,10.817236653231737,106.63191539530457,28,35,1.0
2025-11-30 07:27:57,Cho Ben Thanh,Quan 1,10.772727584493625,106.69804225297563,25,25,1.0
2025-11-30 07:27:58,Duong Nguyen Hue,Quan 1,10.774028664434528,106.70357076461706,17,28,1.0
2025-11-30 07:27:59,Nguyen Van Linh,Quan 7,10.752616652291238,106.72509685338922,39,39,1.0
2025-11-30 07:27:59,Vo Van Kiet,Quan 5,10.745754766198267,106.65326266831877,42,42,1.0
2025-11-30 07:28:00,Xa lo Ha Noi,QL1A,10.94927106740351,106.87196348224562,31,42,1.0
2025-11-30 07:28:01,Duong Dien Bien Phu,Quan 1,10.78866360854368,106.69551372228901,42,42,1.0
2025-11-30 07:28:13,Nga tu Hang Xanh,Binh Thanh,10.801406421807085,106.71148440879679,42,42,1.0
2025-11-30 07:28:14,Nga tu An Suong,Hoc Mon,10.843150534972033,106.6151343241409,35,35,1.0
2025-11-30 07:28:15,Ben xe Mien Dong,Quan 9,10.880537767027526,106.81481342866444,53,53,1.0
2025-11-30 07:28:15,Ben xe Mien Tay,Binh Tan,10.740840166521663,106.61899246873142,34,34,1.0
2025-11-30 07:28:16,Cau Sai Gon,Quan 2 ,10.798986343749618,106.72697056646841,45,45,1.0
2025-11-30 07:28:17,Cau Phu My,Q2,10.741860769464234,106.73790365482627,45,45,1.0
2025-11-30 07:28:18,Cau Kenh Te,Q4,10.752408891679814,106.7022703818112,33,33,1.0
2025-11-30 07:28:19,Cau Thu Thiem,Quan 2,10.786216596454727,106.71836665482695,40,40,1.0
2025-11-30 07:28:20,Nguyen Huu Canh,Binh Thanh,10.78948793356203,106.71518838181179,36,36,1.0
2025-11-30 07:28:21,Cong Hoa,Tan Binh,10.80223925742187,106.6478722259914,30,41,1.0
2025-11-30 07:28:21,Truong Son / Tan Son Nhat Blvd,Gan san bay,10.813928881466124,106.66511432455972,27,34,0.995827
2025-11-30 07:28:22,Nguyen Trai,Quan 5,10.755608615763382,106.67347943578082,28,28,1.0
2025-11-30 07:28:23,Le Duan,Quan 1,10.782680856341083,106.70051548181169,24,30,1.0
2025-11-30 07:28:35,Tran Hung Dao ,Quan 5,10.754895139302109,106.67839188181134,26,32,1.0
2025-11-30 07:28:36,Tran Quoc Thao,Quan 3,10.785070445194592,106.68331340921323,20,27,1.0
2025-11-30 07:28:37,Tran Hung Dao,Quan 5,10.7549373008113,106.67848844133415,26,32,1.0
2025-11-30 07:28:37,Cach Mang Thang 8 (CMT8),Quan 3,10.77898143649726,106.67684447140958,27,34,1.0
2025-11-30 07:28:38,Pham Ngu Lao / Bui Vien,Quan 1,10.767112828386699,106.6927618222887,20,20,1.0
2025-11-30 07:28:39,Nguyen Thi Minh Khai,Quan 3,10.77847212665258,106.69389510879643,41,41,1.0
2025-11-30 07:28:51,Nguyen Van Troi,Phu Nhuan,10.796057790235078,106.67492629345334,26,34,0.995827
2025-11-30 07:29:03,Pham Van Dong,Go Vap,10.835298215641501,106.72935479345391,42,42,1.0
2025-11-30 07:29:15,Cong truong lam son,Quan 1,10.777562007197462,106.7041335430398,23,30,1.0
2025-11-30 07:29:27,Nguyen Oanh ,Go Vap,10.83886351241477,106.67566625482782,36,36,1.0
2025-11-30 07:29:27,Le Hong Phong,Quan 10,10.765187049751795,106.67550552599073,36,36,1.0
2025-11-30 07:29:28,Nguyen Van Cu,Quan 5,10.759484371982321,106.6840537511244,28,28,1.0
2025-11-30 07:29:29,Nga tu Binh Phuoc,Ngoai o,10.865229381280965,106.72366973948475,41,49,1.0
2025-11-30 07:29:30,Phu My Hung ,Quan 7,10.72279213640514,106.72808623948244,28,37,0.98217
2025-11-30 07:29:42,Nguyen Thai Son,Phu Nhuan,10.823400120373712,106.68551227436063,27,32,1.0
2025-11-30 07:29:54,An Duong Vuong,Quan 8,10.756158554057757,106.66631758181126,24,29,1.0
2025-11-30 07:29:54,Huynh Tan Phat,Nha Be,10.7144382088356,106.73711688366167,29,35,1.0
2025-11-30 07:29:55,Truong Chinh,Tan Binh ,10.817236653231737,106.63191539530457,28,34,1.0
2025-11-30 07:31:56,Cho Ben Thanh,Quan 1,10.772727584493625,106.69804225297563,19,23,0.997276
2025-11-30 07:31:57,Duong Nguyen Hue,Quan 1,10.774028664434528,106.70357076461706,29,29,1.0
2025-11-30 07:31:58,Nguyen Van Linh,Quan 7,10.752616652291238,106.72509685338922,39,39,1.0
2025-11-30 07:31:59,Vo Van Kiet,Quan 5,10.745754766198267,106.65326266831877,42,42,1.0
2025-11-30 07:32:00,Xa lo Ha Noi,QL1A,10.94927106740351,106.87196348224562,28,42,1.0
2025-11-30 07:32:07,Duong Dien Bien Phu,Quan 1,10.78866360854368,106.69551372228901,42,42,1.0
2025-11-30 07:32:19,Nga tu Hang Xanh,Binh Thanh,10.801406421807085,106.71148440879679,42,42,1.0
2025-11-30 07:32:20,Nga tu An Suong,Hoc Mon,10.843150534972033,106.6151343241409,35,35,1.0
2025-11-30 07:32:21,Ben xe Mien Dong,Quan 9,10.880537767027526,106.81481342866444,53,53,1.0
2025-11-30 07:32:22,Ben xe Mien Tay,Binh Tan,10.740840166521663,106.61899246873142,34,34,1.0
2025-11-30 07:32:23,Cau Sai Gon,Quan 2 ,10.798986343749618,106.72697056646841,45,45,1.0
2025-11-30 07:32:24,Cau Phu My,Q2,10.741860769464234,106.73790365482627,45,45,1.0
2025-11-30 07:32:36,Cau Kenh Te,Q4,10.752408891679814,106.7022703818112,33,33,1.0
2025-11-30 07:32:37,Cau Thu Thiem,Quan 2,10.786216596454727,106.71836665482695,40,40,1.0
2025-11-30 07:32:38,Nguyen Huu Canh,Binh Thanh,10.78948793356203,106.71518838181179,36,36,1.0
2025-11-30 07:32:38,Cong Hoa,Tan Binh,10.80223925742187,106.6478722259914,41,41,1.0
2025-11-30 07:32:39,Truong Son / Tan Son Nhat Blvd,Gan san bay,10.813928881466124,106.66511432455972,33,33,1.0
2025-11-30 07:32:40,Nguyen Trai,Quan 5,10.755608615763382,106.67347943578082,28,28,1.0
2025-11-30 07:32:48,Le Duan,Quan 1,10.782680856341083,106.70051548181169,30,30,1.0
2025-11-30 07:32:49,Tran Hung Dao ,Quan 5,10.754895139302109,106.67839188181134,26,32,1.0
2025-11-30 07:32:50,Tran Quoc Thao,Quan 3,10.785070445194592,106.68331340921323,17,27,1.0
2025-11-30 07:32:50,Tran Hung Dao,Quan 5,10.7549373008113,106.67848844133415,26,32,1.0
2025-11-30 07:32:51,Cach Mang Thang 8 (CMT8),Quan 3,10.77898143649726,106.67684447140958,26,34,1.0
2025-11-30 07:32:52,Pham Ngu Lao / Bui Vien,Quan 1,10.767112828386699,106.6927618222887,20,20,1.0
2025-11-30 07:32:53,Nguyen Thi Minh Khai,Quan 3,10.77847212665258,106.69389510879643,41,41,1.0
2025-11-30 07:33:00,Nguyen Van Troi,Phu Nhuan,10.796057790235078,106.67492629345334,33,33,1.0
2025-11-30 07:33:01,Pham Van Dong,Go Vap,10.835298215641501,106.72935479345391,42,42,1.0
2025-11-30 07:33:01,Cong truong lam son,Quan 1,10.777562007197462,106.7041335430398,24,30,1.0
2025-11-30 07:33:02,Nguyen Oanh ,Go Vap,10.83886351241477,106.67566625482782,36,36,1.0
2025-11-30 07:33:03,Le Hong Phong,Quan 10,10.765187049751795,106.67550552599073,36,36,1.0
2025-11-30 07:33:04,Nguyen Van Cu,Quan 5,10.759484371982321,106.6840537511244,28,28,1.0
2025-11-30 07:33:12,Nga tu Binh Phuoc,Ngoai o,10.865229381280965,106.72366973948475,41,49,1.0
2025-11-30 07:33:24,Phu My Hung ,Quan 7,10.72279213640514,106.72808623948244,26,36,0.986062
2025-11-30 07:33:25,Nguyen Thai Son,Phu Nhuan,10.823400120373712,106.68551227436063,32,32,1.0
2025-11-30 07:33:25,An Duong Vuong,Quan 8,10.756158554057757,106.66631758181126,30,30,1.0
2025-11-30 07:33:26,Huynh Tan Phat,Nha Be,10.7144382088356,106.73711688366167,28,35,1.0
2025-11-30 07:33:27,Truong Chinh,Tan Binh ,10.817236653231737,106.63191539530457,28,35,1.0
2025-11-30 07:35:39,Cho Ben Thanh,Quan 1,10.772727584493625,106.69804225297563,19,24,1.0
2025-11-30 07:35:40,Duong Nguyen Hue,Quan 1,10.774028664434528,106.70357076461706,29,29,1.0
2025-11-30 07:35:41,Nguyen Van Linh,Quan 7,10.752616652291238,106.72509685338922,39,39,1.0
2025-11-30 07:35:42,Vo Van Kiet,Quan 5,10.745754766198267,106.65326266831877,42,42,1.0
2025-11-30 07:35:43,Xa lo Ha Noi,QL1A,10.94927106740351,106.87196348224562,30,42,1.0
2025-11-30 07:35:44,Duong Dien Bien Phu,Quan 1,10.78866360854368,106.69551372228901,42,42,1.0
2025-11-30 07:35:44,Nga tu Hang Xanh,Binh Thanh,10.801406421807085,106.71148440879679,42,42,1.0
2025-11-30 07:35:45,Nga tu An Suong,Hoc Mon,10.843150534972033,106.6151343241409,35,35,1.0
2025-11-30 07:35:46,Ben xe Mien Dong,Quan 9,10.880537767027526,106.81481342866444,53,53,1.0
2025-11-30 07:35:56,Ben xe Mien Tay,Binh Tan,10.740840166521663,106.61899246873142,34,34,1.0
2025-11-30 07:36:08,Cau Sai Gon,Quan 2 ,10.798986343749618,106.72697056646841,45,45,1.0
2025-11-30 07:36:20,Cau Phu My,Q2,10.741860769464234,106.73790365482627,45,45,1.0
2025-11-30 07:36:20,Cau Kenh Te,Q4,10.752408891679814,106.7022703818112,33,33,1.0
2025-11-30 07:36:21,Cau Thu Thiem,Quan 2,10.786216596454727,106.71836665482695,40,40,1.0
2025-11-30 07:36:22,Nguyen Huu Canh,Binh Thanh,10.78948793356203,106.71518838181179,36,36,1.0
2025-11-30 07:36:23,Cong Hoa,Tan Binh,10.80223925742187,106.6478722259914,32,40,1.0
2025-11-30 07:36:35,Truong Son / Tan Son Nhat Blvd,Gan san bay,10.813928881466124,106.66511432455972,33,33,1.0
2025-11-30 07:36:47,Nguyen Trai,Quan 5,10.755608615763382,106.67347943578082,28,28,1.0
2025-11-30 07:36:48,Le Duan,Quan 1,10.782680856341083,106.70051548181169,24,30,1.0
2025-11-30 07:36:48,Tran Hung Dao ,Quan 5,10.754895139302109,106.67839188181134,32,32,1.0
2025-11-30 07:37:00,Tran Quoc Thao,Quan 3,10.785070445194592,106.68331340921323,19,27,1.0
2025-11-30 07:37:01,Tran Hung Dao,Quan 5,10.7549373008113,106.67848844133415,32,32,1.0
2025-11-30 07:37:02,Cach Mang Thang 8 (CMT8),Quan 3,10.77898143649726,106.67684447140958,27,34,1.0
2025-11-30 07:37:03,Pham Ngu Lao / Bui Vien,Quan 1,10.767112828386699,106.6927618222887,20,20,1.0
2025-11-30 07:37:04,Nguyen Thi Minh Khai,Quan 3,10.77847212665258,106.69389510879643,41,41,1.0
2025-11-30 07:37:05,Nguyen Van Troi,Phu Nhuan,10.796057790235078,106.67492629345334,33,33,1.0
2025-11-30 07:37:06,Pham Van Dong,Go Vap,10.835298215641501,106.72935479345391,42,42,1.0
2025-11-30 07:37:06,Cong truong lam son,Quan 1,10.777562007197462,106.7041335430398,24,30,1.0
2025-11-30 07:37:07,Nguyen Oanh ,Go Vap,10.83886351241477,106.67566625482782,36,36,1.0
2025-11-30 07:37:08,Le Hong Phong,Quan 10,10.765187049751795,106.67550552599073,27,35,1.0
2025-11-30 07:37:09,Nguyen Van Cu,Quan 5,10.759484371982321,106.6840537511244,28,28,1.0
2025-11-30 07:37:10,Nga tu Binh Phuoc,Ngoai o,10.865229381280965,106.72366973948475,49,49,1.0
2025-11-30 07:37:15,Phu My Hung ,Quan 7,10.72279213640514,106.72808623948244,26,37,0.984366
2025-11-30 07:37:27,Nguyen Thai Son,Phu Nhuan,10.823400120373712,106.68551227436063,25,31,1.0
2025-11-30 07:37:28,An Duong Vuong,Quan 8,10.756158554057757,106.66631758181126,30,30,1.0
2025-11-30 07:37:28,Huynh Tan Phat,Nha Be,10.7144382088356,106.73711688366167,28,35,1.0
2025-11-30 07:37:29,Truong Chinh,Tan Binh ,10.817236653231737,106.63191539530457,35,35,1.0
2025-11-30 07:39:41,Cho Ben Thanh,Quan 1,10.772727584493625,106.69804225297563,25,25,1.0
2025-11-30 07:39:42,Duong Nguyen Hue,Quan 1,10.774028664434528,106.70357076461706,29,29,1.0
2025-11-30 07:39:43,Nguyen Van Linh,Quan 7,10.752616652291238,106.72509685338922,39,39,1.0
2025-11-30 07:39:44,Vo Van Kiet,Quan 5,10.745754766198267,106.65326266831877,42,42,1.0
2025-11-30 07:39:44,Xa lo Ha Noi,QL1A,10.94927106740351,106.87196348224562,18,41,1.0
2025-11-30 07:39:45,Duong Dien Bien Phu,Quan 1,10.78866360854368,106.69551372228901,42,42,1.0
2025-11-30 07:39:57,Nga tu Hang Xanh,Binh Thanh,10.801406421807085,106.71148440879679,42,42,1.0
2025-11-30 07:39:58,Nga tu An Suong,Hoc Mon,10.843150534972033,106.6151343241409,28,34,1.0
