Latitude,Longitude,CurrentSpeed,FreeFlowSpeed,Confidence,Hour,Minute,DayOfWeek,Weekend,CongestionRatio
10.772727584493625,106.69804225297564,14,23,0.995907,8,16,1,0,0.6087
10.774028664434528,106.70357076461706,20,28,1.0,8,16,1,0,0.7143
10.752616652291238,106.72509685338922,39,39,1.0,8,17,1,0,1.0
10.745754766198267,106.65326266831876,42,42,1.0,8,17,1,0,1.0
10.94927106740351,106.87196348224562,29,41,1.0,8,17,1,0,0.7073
10.78866360854368,106.695513722289,33,42,1.0,8,17,1,0,0.7857
10.801406421807084,106.7114844087968,33,42,1.0,8,17,1,0,0.7857
10.843150534972033,106.6151343241409,24,35,1.0,8,17,1,0,0.6857
10.880537767027526,106.81481342866444,40,53,1.0,8,17,1,0,0.7547
10.740840166521664,106.61899246873142,27,35,1.0,8,17,1,0,0.7714
10.798986343749618,106.7269705664684,31,45,1.0,8,17,1,0,0.6889
10.741860769464234,106.73790365482628,44,44,1.0,8,17,1,0,1.0
10.752408891679814,106.7022703818112,18,34,1.0,8,17,1,0,0.5294
10.786216596454729,106.71836665482697,40,40,1.0,8,17,1,0,1.0
10.78948793356203,106.7151883818118,22,35,1.0,8,17,1,0,0.6286
10.80223925742187,106.6478722259914,28,39,1.0,8,17,1,0,0.7179
10.813928881466124,106.66511432455972,20,34,0.998954,8,17,1,0,0.5882
10.755608615763382,106.67347943578082,19,27,1.0,8,17,1,0,0.7037
10.782680856341084,106.70051548181168,18,30,1.0,8,17,1,0,0.6
10.754895139302109,106.67839188181134,22,33,1.0,8,17,1,0,0.6667
10.785070445194592,106.68331340921324,9,27,1.0,8,17,1,0,0.3333
10.7549373008113,106.67848844133415,22,33,1.0,8,17,1,0,0.6667
10.77898143649726,106.67684447140958,22,34,1.0,8,17,1,0,0.6471
10.7671128283867,106.6927618222887,15,20,1.0,8,17,1,0,0.75
10.77847212665258,106.69389510879644,28,41,1.0,8,17,1,0,0.6829
10.796057790235078,106.67492629345334,21,34,0.998954,8,18,1,0,0.6176
10.8352982156415,106.72935479345392,31,42,0.994777,8,18,1,0,0.7381
10.777562007197462,106.7041335430398,19,30,1.0,8,18,1,0,0.6333
10.83886351241477,106.67566625482782,36,36,1.0,8,18,1,0,1.0
10.765187049751797,106.67550552599072,25,36,1.0,8,18,1,0,0.6944
10.75948437198232,106.6840537511244,20,27,1.0,8,18,1,0,0.7407
